Movement,Nose.x,Nose.y,Neck.x,Neck.y,RShoulder.x,RShoulder.y,RElbow.x,RElbow.y,RWrist.x,RWrist.y,LShoulder.x,LShoulder.y,LElbow.x,LElbow.y,LWrist.x,LWrist.y,MidHip.x,MidHip.y,RHip.x,RHip.y,RKnee.x,RKnee.y,RAnkle.x,RAnkle.y,LHip.x,LHip.y,LKnee.x,LKnee.y,LAnkle.x,LAnkle.y,REye.x,REye.y,LEye.x,LEye.y,REar.x,REar.y,LEar.x,LEar.y,LBigToe.x,LBigToe.y,LSmallToe.x,LSmallToe.y,LHeel.x,LHeel.y,RBigToe.x,RBigToe.y,RSmallToe.x,RSmallToe.y,RHeel.x,RHeel.y
3,585.6311,131.98381,599.00415,200.19687,553.86804,200.19989,531.2197,290.8206,526.60583,358.84146,640.1471,200.20178,667.16974,286.2755,653.67426,358.7673,594.78705,376.70483,563.0223,376.74673,567.47906,485.85663,580.98096,599.0664,630.6622,372.47968,630.78394,485.82855,630.761,599.0126,571.97174,127.278694,594.786,123.15449,562.98016,136.61452,626.33856,127.63452,603.83636,621.93365,630.77045,626.24066,630.7894,603.6763,567.47144,621.8305,562.7325,612.8201,594.39453,603.7908
3,585.6293,131.9839,598.99884,200.20465,553.85724,200.21492,531.22485,290.84143,526.61475,358.86884,640.13544,200.2046,667.17413,286.26685,653.6837,358.754,594.793,376.7056,563.02435,376.7493,567.4776,485.85645,580.97925,599.069,630.6711,372.47787,630.78436,485.82843,630.76013,599.01807,571.9731,127.2807,594.784,123.15651,562.974,136.62413,626.33795,127.63786,603.84076,626.22516,630.7706,626.24634,630.78796,603.6827,567.4729,621.8341,562.7332,612.8248,594.39307,603.79364
2,585.62305,131.99,598.9961,200.1933,553.85443,200.2106,531.22363,290.8472,526.61597,358.86914,640.1226,200.18355,667.17413,286.2389,653.68134,358.7428,594.79565,376.71292,563.02496,376.75894,567.48126,485.8605,580.9779,599.0674,630.6752,372.48502,630.7832,485.83237,630.757,599.02344,571.97095,127.285706,594.7785,123.16045,562.9698,136.62825,626.3403,127.6337,603.84174,626.23035,630.771,626.2507,630.7822,603.6884,567.47473,621.8341,562.73267,612.8239,590.2057,603.7857
2,585.6422,131.9819,598.99164,200.19308,553.85187,200.21036,531.2174,290.82162,526.60986,358.8212,640.1154,200.18481,667.17285,286.23746,653.662,358.75693,594.80176,376.7336,563.02936,376.7817,567.4787,485.86856,580.97797,599.0674,630.6823,376.70706,630.79156,485.83997,630.7598,599.0298,571.9847,127.28228,594.79047,123.15379,562.9704,136.5916,626.3403,127.629654,603.8372,626.2358,630.7679,626.2581,630.78564,603.69305,567.4681,621.8322,562.72906,612.8197,594.39197,603.7921
1,585.6171,131.99692,598.9848,200.18874,553.849,200.213,531.2363,290.84378,526.57837,358.81387,640.1115,200.18808,667.16425,286.22342,653.66565,354.39075,594.7792,376.72156,563.01483,376.7696,567.4783,485.855,580.9858,599.05426,630.6536,372.49585,630.7819,485.83896,630.7754,599.01434,571.9642,127.29265,594.77344,123.16248,562.9687,136.64032,626.3436,127.63489,603.8186,621.9066,630.764,626.219,630.8059,603.6787,567.42993,621.8053,558.53467,612.7708,594.39825,603.78094
1,585.60474,131.99753,598.98376,200.18268,553.848,200.20828,531.23737,295.17923,526.5845,358.81387,640.1058,200.18332,667.1707,286.21533,653.6594,354.39362,594.7844,376.73123,563.0174,376.7851,567.4807,485.85428,581.0018,599.0573,630.66034,376.70334,630.78345,485.84457,630.78284,599.01855,571.9516,127.29194,594.76636,123.16156,0,0,626.3436,127.635155,603.8203,621.91376,630.76636,626.22473,630.81744,603.6833,567.43134,621.8107,558.5396,612.77496,594.41003,603.78687
0,585.62555,132.00883,598.99084,200.177,553.8567,200.20744,531.2476,295.19797,526.5782,358.86813,640.1091,200.16765,667.1729,286.1913,653.6726,354.38855,594.79663,376.76074,563.0247,376.81534,567.48517,485.87662,581.0019,599.0664,630.6774,376.73526,630.78827,485.86844,630.78345,599.02484,571.96936,127.30212,594.7794,123.171104,562.973,136.65192,626.35583,127.639,603.8492,621.9265,630.7829,626.2318,630.80927,603.6856,567.45593,621.8189,562.7184,612.79755,594.4077,603.796
0,589.9172,132.01009,599.0022,200.21236,553.8754,200.254,531.28485,295.2105,526.6177,358.8008,640.11865,200.19374,667.10046,286.25165,653.5997,358.73288,594.81006,376.72375,563.0293,376.77197,567.4893,485.82407,580.99536,599.01556,630.69556,372.5011,630.78705,485.7582,630.77606,594.8106,572.01996,127.32464,594.80347,123.172905,562.9546,141.03134,626.37854,127.646614,608.21277,621.90515,630.8751,621.92267,630.76514,599.41,567.53235,621.8076,562.7582,612.7846,594.3972,603.7356
0,589.91846,132.00885,598.9966,200.21252,553.8658,200.2537,531.2774,295.19922,526.61444,358.79495,640.1154,200.19368,667.09814,286.2503,653.5958,358.73062,594.8058,376.719,563.02594,376.7682,567.4899,485.81635,580.99414,599.0135,630.69006,372.49628,630.78357,485.7514,630.7746,594.8089,572.01996,127.32302,594.8041,123.17276,562.9528,141.01875,626.3761,127.64629,608.2053,621.9001,630.86993,621.9185,630.7646,599.40894,567.5272,621.8039,562.7548,612.78217,594.39606,603.73285
0,589.913,132.01416,599.0018,200.2078,553.8731,200.24712,531.2834,295.1845,526.6354,358.74744,640.1182,200.18732,667.10046,286.24335,653.5945,358.73785,594.8155,376.72745,563.0374,376.77457,567.4851,485.81332,580.98706,599.0141,630.6969,376.7062,630.7874,485.75528,630.77435,594.8116,572.0226,127.324684,594.80194,127.280075,562.96625,141.04855,626.38715,127.64829,608.1829,621.89813,630.85297,621.92,630.7692,599.4136,567.514,621.8026,562.74695,612.77856,590.2053,603.72577
